137790,1371972,0
-95349,1371972,233139
-171853,1371972,76504
-254144,1372705,82294.2645
-342827,1373184,88684.29359
-437913,1373372,95086.18585
-539243,1373554,101330.1634
-646460,1373736,107217.1545
-759053,1373918,112593.1471
-876449,1374100,117396.1411
-997891,1374292,121442.1518
-1060033,1374401,62142.0956
-1123259,1374513,63226.0992
-1187551,1374576,64292.03087
-1252885,1374125,65335.55661
-1319208,1372454,66344.04698
-1386428,1368856,67316.22393
-1454363,1362514,68230.38318
-1522796,1352973,69094.90698
-1591437,1339517,69947.48614
-1660047,1322019,70806.15866
-1728351,1300434,71633.43243
-1796049,1274622,72451.90507
-1862921,1244697,73262.33691
-1928812,1210857,74072.73102
-1993425,1173124,74823.92036
-2056521,1131520,75577.76149
-2117838,1086112,76299.80965
-2177019,1036897,76970.81906
-2233583,983833,77558.19874
-2286448,926414,78049.02169
-2334417,864366,78428.17902
-2376774,798025,78709.8706
-2413205,727949,78980.14647
-2442532,654438,79145.05702
-2464406,578196,79317.80658
-2479006,500076,79472.60157
-2486205,420778,79624.10693
-2485820,341030,79748.92933
-2478919,261450,79878.65923
-2464483,182892,79873.38393
-2443735,105653,79977.13814
-2416252,30390,80123.86946
-2383046,-42875,80438.78829
-2348059,-115936,81006.17193
-2313896,-189986,81550.67792
-2280748,-265074,82079.21569
-2248310,-341051,82611.91423
-2216320,-417795,83144.46245
-2184444,-494990,83517.3479
-2152367,-572678,84049.74285
-2120077,-650891,84616.29553
-2087565,-729623,85180.73707
-2054403,-808662,85713.95315
-2020424,-882494,81275.68311
-1983715,-949442,76351.72156
-1941094,-1011200,75037.32541
-1892127,-1065781,73327.02537
-1836977,-1110547,71031.80454
-1777346,-1144943,68839.96642
-1715983,-1168919,65880.69782
-1654692,-1181680,62605.34963
-1595735,-1183906,58999.00783
-1540460,-1177167,55684.28635
-1490307,-1162390,52284.63577
-1445165,-1139784,50485.9525
-1404757,-1109534,50476.41988
-1367441,-1073979,51542.62198
-1330061,-1036357,53034.69887
-1292219,-997264,54408.45167
-1254512,-956248,55714.72072
-1217199,-913228,56947.17174
-1180251,-868351,58130.02523
-1143380,-821965,59254.80265
-1106344,-774351,60322.12108
-1069049,-725962,61093.4722
-1031132,-676744,62129.78684
-992575,-626666,63201.64818
-953382,-575738,64263.14988
-913489,-524083,65266.30428
-872867,-471739,66257.38615
-831540,-418748,67200.94501
-789397,-365647,67791.95122
-749814,-319009,61171.21
-712371,-280375,53801.15431
-671768,-247404,52303.82825
-627576,-219775,52118.08232
-579867,-198827,52105.34891
-529742,-186358,51652.60483
-478460,-183333,51371.14121
-428325,-189922,50566.12647
-382134,-205360,48702.57
-340477,-229323,48057.58023
-304802,-260338,47271.93512
-275207,-297728,47685.1772
-251857,-340215,48480.59064
-234025,-386471,49574.16424
-220365,-435455,50853.00243
-209553,-486505,52182.39017
-200015,-539240,53590.61176
-189407,-593092,54886.86152
-175077,-643950,52838.29165
-153830,-691565,52140.41843
-124851,-734603,51884.98709
-89376,-771731,51351.37787
-49075,-801353,50016.33218
-6060,-821934,47685.08977
37982,-833340,45494.99533
81612,-835334,43675.54162
123357,-828363,42323.04179
162229,-813058,41776.4935
197575,-790466,41949.23337
229427,-761555,43016.22746
259499,-728752,44501.25833
289357,-693790,45976.53323
319532,-657140,47473.70983
349669,-618489,49011.61668
379241,-577507,50537.38723
408170,-534287,52008.22474
436625,-489049,53443.08813
464922,-442095,54821.51334
493437,-393741,56135.67975
522471,-344243,57384.88616
552087,-293724,58560.02747
582273,-242262,59661.81392
612916,-190027,60559.7942
644033,-137110,61387.91883
675717,-83246,62491.65026
708034,-28514,63560.83946
741600,26741,64651.3061
777290,81902,65700.16759
815945,136233,66678.83162
858203,188991,67595.45198
904351,239611,68498.33797
954640,287265,69281.2185
1008460,332058,70021.46277
1065800,373491,70742.97908
1126676,410826,71412.81118
1190612,444051,72053.54066
1257400,472779,72704.43541
1326618,496882,73294.51639
1397960,516026,73865.91704
1471080,530099,74461.96162
1545591,539304,75077.43433
1620696,545527,75362.36962
1691601,552427,71239.93982
1761178,564094,70548.40762
1828524,583377,70052.25053
1892141,611453,69536.92879
1949010,648380,67806.24226
1998275,692955,66437.72159
2038140,743119,64075.3082
2067859,796859,61410.15031
2087339,852192,58661.83844
2097244,907533,56220.41716
2097871,962165,54635.59786
2089515,1015323,53810.73963
2072837,1066478,53805.10858
2049115,1115825,54752.71402
2019527,1163135,55800.41079
1984727,1207921,56717.06794
1944458,1248958,57494.5887
1898778,1284889,58117.97623
1848264,1314393,58499.1471
1794246,1337436,58727.54186
1737414,1353998,59196.08153
1678520,1364390,59803.82011
1618163,1369583,60579.98595
1556903,1371771,61299.06153
1494524,1372265,62380.95604
1431098,1371990,63426.59616
1366631,1371533,64468.61979
1301128,1371055,65504.74405
1234594,1370550,66535.91647
1167045,1370086,67550.59361
1098569,1369668,68477.27579
1029116,1369311,69453.91751
958701,1368947,70415.94082
887344,1368577,71357.95925
815074,1368217,72270.89663
741921,1367886,73153.74884
667907,1367576,74014.6492
593058,1367416,74849.17101
517403,1367406,75655.00066
440976,1367427,76427.00289
363812,1367531,77164.07008
263812,1367531,100000
177790,1371972,86136.55998
